編號,專案,日期,月,日,星期,是否假日,時長,機位數量,工作性質,花絮,視訊切換,視訊連線,PA音控,大場分小場,導播人數,攝影人數,音控人數,直播人數,機動人數,花絮人數,視訊切換人數,視訊連線人數,人數
151,康泰糖尿病夏令營,2024/7/27,7,27,6,1,7,2,錄製,1,0,0,0,0,0,3,0,0,1,0,0,0,4
152,今周刊進場,2024/7/25,7,25,4,0,4,3,進場,0,0,0,0,0,0,0,0,1,2,0,0,0,3
153,今周刊 x 地方創生,2024/7/26,7,26,5,0,10,3,直播,0,0,0,0,0,1,2,0,1,0,0,0,0,4
154,高德美進場2,2024/7/27,7,27,6,1,5,2,進場,0,0,0,1,0,0,0,0,0,1,0,1,0,2
155,高德美2,2024/7/28,7,28,7,1,9.5,2,錄製,0,0,0,1,0,0,2,1,0,0,0,1,0,4
156,英飛凌進場,2024/7/28,7,28,7,1,3.5,3,進場,1,0,0,0,0,0,0,0,0,3,0,0,0,3
157,英飛凌,2024/7/29,7,29,1,0,9.5,3,錄製,1,0,0,0,0,0,2,0,1,0,1,0,1,5
158,BN錄製,2024/7/29,7,29,1,0,10.5,1,錄製,0,0,0,0,0,0,1,2,0,0,0,0,0,3
159,中小企業,2024/7/31,7,31,3,0,3.5,1,錄製,0,0,0,0,0,0,1,0,0,1,0,0,0,2
160,BN新商業學校,2024/8/1,8,1,4,0,5,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
161,中小企業,2024/8/2,8,2,5,0,3.5,1,錄製,0,0,0,0,0,0,1,0,0,1,0,0,0,2
162,體育署槌球錦標賽,2024/8/3,8,3,6,1,10,4,直播,0,0,0,0,0,1,2,1,1,1,0,0,0,6
163,今周刊進場,2024/8/4,8,4,7,1,6.5,3,進場,0,0,0,0,0,0,1,1,1,1,0,0,0,4
164,今周刊現場雙機,2024/8/5,8,5,1,0,9,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
165,Gate.io現場雙機訪談1,2024/8/6,8,6,2,0,8.5,3,錄製,0,0,0,0,0,0,3,0,0,1,0,0,0,4
166,中國信託,2024/8/6,8,6,2,0,3,1,錄製,0,0,0,0,0,0,1,1,0,0,0,0,0,2
167,風傳媒,2024/8/7,8,7,3,0,7,3,直播,0,0,0,0,0,1,2,0,1,0,0,1,0,5
168,影響力1,2024/8/7,8,7,3,0,4.5,1,直播,0,0,1,0,0,0,1,0,0,0,0,0,1,2
169,Gate.io現場雙機訪談2,2024/8/7,8,7,3,0,2.5,2,錄製,0,0,0,0,0,0,2,0,0,2,0,0,0,4
170,滑輪溜冰進場,2024/8/9,8,9,5,0,8.5,5,進場,0,0,0,0,0,1,3,1,1,2,0,0,0,8
171,滑輪溜冰 Day1,2024/8/10,8,10,6,1,12,5,直播,0,0,0,0,0,1,3,1,1,2,0,0,0,8
172,滑輪溜冰 Day2,2024/8/11,8,11,7,1,12,5,直播,0,0,0,0,0,1,3,1,1,2,0,0,0,8
173,台經院1,2024/8/12,8,12,1,0,4,1,直播,0,0,0,0,0,0,1,1,1,0,0,0,0,3
174,今周刊,2024/8/14,8,14,3,0,8,2,直播,0,0,0,0,0,1,1,0,1,0,0,0,0,3
175,中小企業_工作坊1,2024/8/14,8,14,3,0,4.5,1,錄製,0,0,0,0,0,0,1,0,0,1,0,0,0,2
176,尼爾森,2024/8/14,8,14,3,0,5.5,1,錄製,0,0,0,0,0,0,2,0,0,1,0,0,0,3
177,AWS單錄,2024/8/15,8,15,4,0,4,1,錄製,0,0,0,0,0,0,1,1,0,1,0,0,0,3
178,RADO測試,2024/8/15,8,15,4,0,2,1,直播,0,0,0,0,0,0,1,0,0,2,0,0,0,3
179,台經院2,2024/8/16,8,16,5,0,5.5,1,直播,0,0,0,0,0,0,1,0,1,0,0,0,0,2
180,iThome x Synology進場,2024/8/20,8,20,2,0,6,3,進場,0,0,0,0,0,1,0,1,1,3,0,0,0,6
181,中小企業_工作坊2,2024/8/20,8,20,2,0,2.5,1,錄製,0,0,0,0,0,0,1,0,0,1,0,0,0,2
182,iThome x Synology,2024/8/21,8,21,3,0,9,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
183,台經院3,2024/8/21,8,21,3,0,5.5,1,直播,0,0,0,0,0,0,1,0,1,0,0,0,0,2
184,vivo1,2024/8/22,8,22,4,0,8.5,3,直播,1,0,0,0,0,1,3,1,1,0,1,0,0,7
185,智動協會1,2024/8/23,8,23,5,0,8,3,錄製,0,1,0,0,0,1,2,1,0,0,0,1,0,5
186,vivo2,2024/8/24,8,24,6,1,3,1,錄製,1,0,0,0,0,0,0,0,0,1,1,0,0,2
187,影響力2,2024/8/24,8,24,6,1,8,0,直播,0,0,1,0,0,0,0,0,1,0,0,0,2,3
188,環保局,2024/8/25,8,25,7,1,4,2,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
189,智動協會2,2024/8/28,8,28,3,0,3.5,2,錄製,0,0,0,0,0,0,2,0,0,1,0,0,0,3
190,中小企業_工作坊3,2024/8/28,8,28,3,0,5,1,錄製,0,0,0,0,0,0,1,0,0,1,0,0,0,2
191,恆隆行,2024/8/28,8,28,3,0,8.5,3,錄製,0,0,0,1,0,1,3,1,0,1,0,0,0,6
192,RADO,2024/8/29,8,29,4,0,9,1,直播,0,0,0,0,0,0,1,0,1,2,0,0,0,4
193,iThome X AWS 進場,2024/8/29,8,29,4,0,6,5,進場,0,0,0,0,0,0,0,0,5,3,0,0,0,8
194,iThome X AWS 601,2024/8/30,8,30,5,0,10,1,直播,0,0,0,0,0,0,1,0,1,1,0,0,0,3
195,iThome X AWS 602,2024/8/30,8,30,5,0,10,1,直播,0,0,0,0,0,0,1,0,1,1,0,0,0,3
196,iThome X AWS 603,2024/8/30,8,30,5,0,10,1,直播,0,0,0,0,0,0,1,0,1,1,0,0,0,3
197,iThome X AWS 604,2024/8/30,8,30,5,0,10,1,直播,0,0,0,0,0,0,1,0,1,1,0,0,0,3
198,iThome X AWS 606,2024/8/30,8,30,5,0,10,1,直播,0,0,0,0,0,0,1,0,1,1,0,0,0,3
